GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000145	exocyst	44	8	5.2	0.1423	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc20093.1
GO:0000145	exocyst	44	8	5.2	0.1423	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc31583.1
GO:0000145	exocyst	44	8	5.2	0.1423	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc08918.1
GO:0000145	exocyst	44	8	5.2	0.1423	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc28342.1
GO:0000145	exocyst	44	8	5.2	0.1423	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc21335.1
GO:0000145	exocyst	44	8	5.2	0.1423	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc21076.1
GO:0000145	exocyst	44	8	5.2	0.1423	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc21193.1
GO:0000145	exocyst	44	8	5.2	0.1423	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc17373.1
GO:0000151	ubiquitin ligase complex	290	33	34.3	0.6985	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc35017.1
GO:0000151	ubiquitin ligase complex	290	33	34.3	0.6985	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc06159.1
GO:0000151	ubiquitin ligase complex	290	33	34.3	0.6985	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc20569.1
GO:0000151	ubiquitin ligase complex	290	33	34.3	0.6985	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc30311.1
GO:0000151	ubiquitin ligase complex	290	33	34.3	0.6985	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc19881.1
GO:0000151	ubiquitin ligase complex	290	33	34.3	0.6985	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc34980.1
GO:0000151	ubiquitin ligase complex	290	33	34.3	0.6985	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc01889.1
GO:0000151	ubiquitin ligase complex	290	33	34.3	0.6985	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc03002.1
GO:0000151	ubiquitin ligase complex	290	33	34.3	0.6985	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc03360.1
GO:0000151	ubiquitin ligase complex	290	33	34.3	0.6985	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc03802.1
GO:0000151	ubiquitin ligase complex	290	33	34.3	0.6985	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc06147.1
GO:0000151	ubiquitin ligase complex	290	33	34.3	0.6985	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc22118.1
GO:0000151	ubiquitin ligase complex	290	33	34.3	0.6985	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc23296.1
GO:0000151	ubiquitin ligase complex	290	33	34.3	0.6985	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc23548.1
GO:0000151	ubiquitin ligase complex	290	33	34.3	0.6985	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc25128.1
GO:0000151	ubiquitin ligase complex	290	33	34.3	0.6985	5topCC.G2.ND.S-G1.ND.S.up.txt	Lc27400.1
