GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000155	phosphorelay sensor kinase activity	42	7	4.2	0.12129	5topMF.G1.D.S-G1.D.NS.down.txt	Lc27156.1
GO:0000155	phosphorelay sensor kinase activity	42	7	4.2	0.12129	5topMF.G1.D.S-G1.D.NS.down.txt	Lc21109.1
GO:0000155	phosphorelay sensor kinase activity	42	7	4.2	0.12129	5topMF.G1.D.S-G1.D.NS.down.txt	Lc18752.1
GO:0000155	phosphorelay sensor kinase activity	42	7	4.2	0.12129	5topMF.G1.D.S-G1.D.NS.down.txt	Lc25324.1
GO:0000155	phosphorelay sensor kinase activity	42	7	4.2	0.12129	5topMF.G1.D.S-G1.D.NS.down.txt	Lc04158.1
GO:0000155	phosphorelay sensor kinase activity	42	7	4.2	0.12129	5topMF.G1.D.S-G1.D.NS.down.txt	Lc11775.1
GO:0000155	phosphorelay sensor kinase activity	42	7	4.2	0.12129	5topMF.G1.D.S-G1.D.NS.down.txt	Lc01838.1
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kin...	7	3	0.7	0.02567	5topMF.G1.D.S-G1.D.NS.down.txt	Lc15298.1
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kin...	7	3	0.7	0.02567	5topMF.G1.D.S-G1.D.NS.down.txt	Lc03094.1
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kin...	7	3	0.7	0.02567	5topMF.G1.D.S-G1.D.NS.down.txt	Lc32099.1
GO:0000822	inositol hexakisphosphate binding	6	3	0.6	0.01584	5topMF.G1.D.S-G1.D.NS.down.txt	Lc04536.1
GO:0000822	inositol hexakisphosphate binding	6	3	0.6	0.01584	5topMF.G1.D.S-G1.D.NS.down.txt	Lc19113.1
GO:0000822	inositol hexakisphosphate binding	6	3	0.6	0.01584	5topMF.G1.D.S-G1.D.NS.down.txt	Lc25594.1
GO:0001047	core promoter binding	44	11	4.4	0.00333	5topMF.G1.D.S-G1.D.NS.down.txt	Lc26445.1
GO:0001047	core promoter binding	44	11	4.4	0.00333	5topMF.G1.D.S-G1.D.NS.down.txt	Lc34028.1
GO:0001047	core promoter binding	44	11	4.4	0.00333	5topMF.G1.D.S-G1.D.NS.down.txt	Lc01436.1
GO:0001047	core promoter binding	44	11	4.4	0.00333	5topMF.G1.D.S-G1.D.NS.down.txt	Lc29709.1
GO:0001047	core promoter binding	44	11	4.4	0.00333	5topMF.G1.D.S-G1.D.NS.down.txt	Lc30866.1
GO:0001047	core promoter binding	44	11	4.4	0.00333	5topMF.G1.D.S-G1.D.NS.down.txt	Lc03426.1
