GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000076	DNA replication checkpoint	6	4	1.1	0.01237	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc24951.1
GO:0000076	DNA replication checkpoint	6	4	1.1	0.01237	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc24521.1
GO:0000076	DNA replication checkpoint	6	4	1.1	0.01237	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc00155.1
GO:0000076	DNA replication checkpoint	6	4	1.1	0.01237	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc26693.1
GO:0000154	rRNA modification	21	9	3.85	0.00813	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc03324.1
GO:0000154	rRNA modification	21	9	3.85	0.00813	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc28673.1
GO:0000154	rRNA modification	21	9	3.85	0.00813	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc10764.1
GO:0000154	rRNA modification	21	9	3.85	0.00813	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc37193.1
GO:0000154	rRNA modification	21	9	3.85	0.00813	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc13090.1
GO:0000154	rRNA modification	21	9	3.85	0.00813	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc29398.1
GO:0000154	rRNA modification	21	9	3.85	0.00813	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc17530.1
GO:0000154	rRNA modification	21	9	3.85	0.00813	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc20178.1
GO:0000154	rRNA modification	21	9	3.85	0.00813	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc05969.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc11471.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc34589.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc22919.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc23867.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc10823.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc04629.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc05535.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc11038.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc05927.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc29022.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc29829.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc34615.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc12966.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc15912.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc13769.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc00594.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc17175.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc30797.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc05956.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc30419.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc21816.1
GO:0000160	phosphorelay signal transduction system	362	86	66.4	0.02150	5topBP.G1.ND.NS-G1.D.NS.both.txt	Lc01507.1
