GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000064	L-ornithine transmembrane transporter ac...	7	3	0.38	0.00463	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc28588.1
GO:0000064	L-ornithine transmembrane transporter ac...	7	3	0.38	0.00463	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc35172.1
GO:0000064	L-ornithine transmembrane transporter ac...	7	3	0.38	0.00463	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc36189.1
GO:0000293	ferric-chelate reductase activity	8	3	0.43	0.00711	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc09184.1
GO:0000293	ferric-chelate reductase activity	8	3	0.43	0.00711	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc01156.1
GO:0000293	ferric-chelate reductase activity	8	3	0.43	0.00711	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc26499.1
GO:0000993	RNA polymerase II complex binding	9	2	0.48	0.08104	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc17614.1
GO:0000993	RNA polymerase II complex binding	9	2	0.48	0.08104	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc22563.1
GO:0001085	RNA polymerase II transcription factor b...	33	4	1.78	0.09938	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc25259.1
GO:0001085	RNA polymerase II transcription factor b...	33	4	1.78	0.09938	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc22728.1
GO:0001085	RNA polymerase II transcription factor b...	33	4	1.78	0.09938	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc24429.1
GO:0001085	RNA polymerase II transcription factor b...	33	4	1.78	0.09938	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc22672.1
GO:0003988	acetyl-CoA C-acyltransferase activity	8	2	0.43	0.06531	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc19159.1
GO:0003988	acetyl-CoA C-acyltransferase activity	8	2	0.43	0.06531	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc16245.1
GO:0004014	adenosylmethionine decarboxylase activit...	6	2	0.32	0.03758	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc22626.1
GO:0004014	adenosylmethionine decarboxylase activit...	6	2	0.32	0.03758	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc27232.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	5	1.94	0.04230	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc18616.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	5	1.94	0.04230	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc29715.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	5	1.94	0.04230	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc36307.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	5	1.94	0.04230	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc35324.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	5	1.94	0.04230	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc17417.1
GO:0004069	L-aspartate:2-oxoglutarate aminotransfer...	8	2	0.43	0.06531	5topMF.G2.ND.NS-G1.ND.NS.up.txt	Lc23157.1
