GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000166	nucleotide binding	4638	7	5.89	1.0000	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc33881.1
GO:0000166	nucleotide binding	4638	7	5.89	1.0000	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc33880.1
GO:0000166	nucleotide binding	4638	7	5.89	1.0000	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc31366.1
GO:0000166	nucleotide binding	4638	7	5.89	1.0000	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc11088.1
GO:0000166	nucleotide binding	4638	7	5.89	1.0000	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc36199.1
GO:0000166	nucleotide binding	4638	7	5.89	1.0000	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc17410.1
GO:0000166	nucleotide binding	4638	7	5.89	1.0000	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc15083.1
GO:0000977	RNA polymerase II regulatory region sequ...	157	1	0.2	0.1814	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc30297.1
GO:0001012	RNA polymerase II regulatory region DNA ...	157	1	0.2	1.0000	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc30297.1
GO:0001882	nucleoside binding	319	1	0.41	1.0000	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc17410.1
GO:0001883	purine nucleoside binding	303	1	0.39	1.0000	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc17410.1
GO:0003676	nucleic acid binding	5256	6	6.68	0.9938	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc36024.1
GO:0003676	nucleic acid binding	5256	6	6.68	0.9938	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc31952.1
GO:0003676	nucleic acid binding	5256	6	6.68	0.9938	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc08919.1
GO:0003676	nucleic acid binding	5256	6	6.68	0.9938	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc17476.1
GO:0003676	nucleic acid binding	5256	6	6.68	0.9938	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc18557.1
GO:0003676	nucleic acid binding	5256	6	6.68	0.9938	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc30297.1
GO:0003677	DNA binding	3131	4	3.98	0.9680	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc30297.1
GO:0003677	DNA binding	3131	4	3.98	0.9680	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc08919.1
GO:0003677	DNA binding	3131	4	3.98	0.9680	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc17476.1
GO:0003677	DNA binding	3131	4	3.98	0.9680	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc36024.1
GO:0003688	DNA replication origin binding	19	1	0.02	0.0239	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc08919.1
GO:0003690	double-stranded DNA binding	459	2	0.58	1.0000	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc30297.1
GO:0003690	double-stranded DNA binding	459	2	0.58	1.0000	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc08919.1
GO:0003700	DNA-binding transcription factor activit...	2186	2	2.78	0.8952	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc30297.1
GO:0003700	DNA-binding transcription factor activit...	2186	2	2.78	0.8952	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc17476.1
GO:0003713	transcription coactivator activity	53	1	0.07	0.0652	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc36024.1
GO:0003723	RNA binding	1989	2	2.53	1.0000	5topMF.G1.ND.S-G1.ND.NS.up.txt	Lc31952.1
