GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000182	rDNA binding	5	1	0.12	0.11023	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc03447.1
GO:0000293	ferric-chelate reductase activity	8	1	0.18	0.17045	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc29911.1
GO:0000822	inositol hexakisphosphate binding	6	1	0.14	0.13077	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc19113.1
GO:0001077	proximal promoter DNA-binding transcript...	5	1	0.12	0.11023	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc09190.1
GO:0003725	double-stranded RNA binding	27	2	0.62	0.12806	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc10390.1
GO:0003725	double-stranded RNA binding	27	2	0.62	0.12806	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc07593.1
GO:0003837	beta-ureidopropionase activity	9	2	0.21	0.01720	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc28479.1
GO:0003837	beta-ureidopropionase activity	9	2	0.21	0.01720	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc34718.1
GO:0003968	RNA-directed 5'-3' RNA polymerase activi...	8	2	0.18	0.01359	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc13621.1
GO:0003968	RNA-directed 5'-3' RNA polymerase activi...	8	2	0.18	0.01359	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc03889.1
GO:0003985	acetyl-CoA C-acetyltransferase activity	5	1	0.12	0.11023	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc29537.1
GO:0003989	acetyl-CoA carboxylase activity	12	2	0.28	0.03013	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc08548.1
GO:0003989	acetyl-CoA carboxylase activity	12	2	0.28	0.03013	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc38229.1
GO:0004072	aspartate kinase activity	5	1	0.12	0.11023	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc04554.1
GO:0004301	epoxide hydrolase activity	26	2	0.6	0.12034	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc27579.1
GO:0004301	epoxide hydrolase activity	26	2	0.6	0.12034	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc05957.1
GO:0004367	glycerol-3-phosphate dehydrogenase [NAD+...	7	1	0.16	0.15084	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc27190.1
GO:0004435	phosphatidylinositol phospholipase C act...	9	1	0.21	0.18960	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc13652.1
GO:0004518	nuclease activity	536	20	12.37	0.03908	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc05912.1
GO:0004518	nuclease activity	536	20	12.37	0.03908	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc18753.1
GO:0004518	nuclease activity	536	20	12.37	0.03908	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc18615.1
GO:0004518	nuclease activity	536	20	12.37	0.03908	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc22468.1
GO:0004518	nuclease activity	536	20	12.37	0.03908	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc35132.1
GO:0004518	nuclease activity	536	20	12.37	0.03908	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc17293.1
GO:0004518	nuclease activity	536	20	12.37	0.03908	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc07184.1
GO:0004518	nuclease activity	536	20	12.37	0.03908	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc08017.1
GO:0004518	nuclease activity	536	20	12.37	0.03908	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc04167.1
GO:0004518	nuclease activity	536	20	12.37	0.03908	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc10282.1
GO:0004518	nuclease activity	536	20	12.37	0.03908	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc31781.1
GO:0004518	nuclease activity	536	20	12.37	0.03908	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc26775.1
GO:0004518	nuclease activity	536	20	12.37	0.03908	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc26292.1
GO:0004518	nuclease activity	536	20	12.37	0.03908	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc12727.1
GO:0004518	nuclease activity	536	20	12.37	0.03908	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc16128.1
GO:0004518	nuclease activity	536	20	12.37	0.03908	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc25549.1
GO:0004518	nuclease activity	536	20	12.37	0.03908	5topMF.G2.ND.NS-G1.ND.NS.down.txt	Lc22302.1
