GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000152	nuclear ubiquitin ligase complex	28	4	1.68	0.08355	5topCC.G2.ND.NS-G2.D.S.up.txt	Lc05570.1
GO:0000152	nuclear ubiquitin ligase complex	28	4	1.68	0.08355	5topCC.G2.ND.NS-G2.D.S.up.txt	Lc33743.1
GO:0000152	nuclear ubiquitin ligase complex	28	4	1.68	0.08355	5topCC.G2.ND.NS-G2.D.S.up.txt	Lc08182.1
GO:0000152	nuclear ubiquitin ligase complex	28	4	1.68	0.08355	5topCC.G2.ND.NS-G2.D.S.up.txt	Lc36558.1
GO:0000159	protein phosphatase type 2A complex	20	2	1.2	0.33870	5topCC.G2.ND.NS-G2.D.S.up.txt	Lc04096.1
GO:0000159	protein phosphatase type 2A complex	20	2	1.2	0.33870	5topCC.G2.ND.NS-G2.D.S.up.txt	Lc11225.1
GO:0000176	nuclear exosome (RNase complex)	12	2	0.72	0.15903	5topCC.G2.ND.NS-G2.D.S.up.txt	Lc15833.1
GO:0000176	nuclear exosome (RNase complex)	12	2	0.72	0.15903	5topCC.G2.ND.NS-G2.D.S.up.txt	Lc27471.1
GO:0000177	cytoplasmic exosome (RNase complex)	7	1	0.42	0.35099	5topCC.G2.ND.NS-G2.D.S.up.txt	Lc15833.1
GO:0000779	condensed chromosome, centromeric region	27	9	1.62	1.7e-05	5topCC.G2.ND.NS-G2.D.S.up.txt	Lc16903.1
GO:0000779	condensed chromosome, centromeric region	27	9	1.62	1.7e-05	5topCC.G2.ND.NS-G2.D.S.up.txt	Lc37967.1
GO:0000779	condensed chromosome, centromeric region	27	9	1.62	1.7e-05	5topCC.G2.ND.NS-G2.D.S.up.txt	Lc11445.1
GO:0000779	condensed chromosome, centromeric region	27	9	1.62	1.7e-05	5topCC.G2.ND.NS-G2.D.S.up.txt	Lc12248.1
GO:0000779	condensed chromosome, centromeric region	27	9	1.62	1.7e-05	5topCC.G2.ND.NS-G2.D.S.up.txt	Lc00817.1
GO:0000779	condensed chromosome, centromeric region	27	9	1.62	1.7e-05	5topCC.G2.ND.NS-G2.D.S.up.txt	Lc19738.1
GO:0000779	condensed chromosome, centromeric region	27	9	1.62	1.7e-05	5topCC.G2.ND.NS-G2.D.S.up.txt	Lc12231.1
GO:0000779	condensed chromosome, centromeric region	27	9	1.62	1.7e-05	5topCC.G2.ND.NS-G2.D.S.up.txt	Lc07322.1
GO:0000779	condensed chromosome, centromeric region	27	9	1.62	1.7e-05	5topCC.G2.ND.NS-G2.D.S.up.txt	Lc03234.1
