GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000210	NAD+ diphosphatase activity	15	4	1.6	0.06755	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc12329.1
GO:0000210	NAD+ diphosphatase activity	15	4	1.6	0.06755	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc16926.1
GO:0000210	NAD+ diphosphatase activity	15	4	1.6	0.06755	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc20472.1
GO:0000210	NAD+ diphosphatase activity	15	4	1.6	0.06755	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc28740.1
GO:0000993	RNA polymerase II complex binding	9	3	0.96	0.06222	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc32287.1
GO:0000993	RNA polymerase II complex binding	9	3	0.96	0.06222	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc22563.1
GO:0000993	RNA polymerase II complex binding	9	3	0.96	0.06222	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc17614.1
GO:0003837	beta-ureidopropionase activity	9	3	0.96	0.06222	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc16863.1
GO:0003837	beta-ureidopropionase activity	9	3	0.96	0.06222	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc34718.1
GO:0003837	beta-ureidopropionase activity	9	3	0.96	0.06222	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc28479.1
GO:0003885	D-arabinono-1,4-lactone oxidase activity	5	2	0.53	0.09133	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc38972.1
GO:0003885	D-arabinono-1,4-lactone oxidase activity	5	2	0.53	0.09133	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc02789.1
GO:0003985	acetyl-CoA C-acetyltransferase activity	5	3	0.53	0.01026	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc19159.1
GO:0003985	acetyl-CoA C-acetyltransferase activity	5	3	0.53	0.01026	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc29537.1
GO:0003985	acetyl-CoA C-acetyltransferase activity	5	3	0.53	0.01026	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc01486.1
GO:0003993	acid phosphatase activity	66	11	7.04	0.08889	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc29030.1
GO:0003993	acid phosphatase activity	66	11	7.04	0.08889	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc30945.1
GO:0003993	acid phosphatase activity	66	11	7.04	0.08889	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc36452.1
GO:0003993	acid phosphatase activity	66	11	7.04	0.08889	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc01278.1
GO:0003993	acid phosphatase activity	66	11	7.04	0.08889	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc07030.1
GO:0003993	acid phosphatase activity	66	11	7.04	0.08889	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc13933.1
GO:0003993	acid phosphatase activity	66	11	7.04	0.08889	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc36515.1
GO:0003993	acid phosphatase activity	66	11	7.04	0.08889	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc18679.1
GO:0003993	acid phosphatase activity	66	11	7.04	0.08889	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc19401.1
GO:0003993	acid phosphatase activity	66	11	7.04	0.08889	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc17732.1
GO:0003993	acid phosphatase activity	66	11	7.04	0.08889	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc33844.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	8	3.84	0.03296	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc36307.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	8	3.84	0.03296	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc19060.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	8	3.84	0.03296	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc26497.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	8	3.84	0.03296	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc29715.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	8	3.84	0.03296	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc17417.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	8	3.84	0.03296	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc37028.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	8	3.84	0.03296	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc35324.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	8	3.84	0.03296	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc18616.1
GO:0004040	amidase activity	23	6	2.45	0.02997	5topMF.G2.D.NS-G1.D.NS.both.txt	Lc15177.1
