GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000145	exocyst	44	10	5.61	0.04701	5topCC.G2.D.S-G1.D.S.up.txt	Lc22504.1
GO:0000145	exocyst	44	10	5.61	0.04701	5topCC.G2.D.S-G1.D.S.up.txt	Lc21335.1
GO:0000145	exocyst	44	10	5.61	0.04701	5topCC.G2.D.S-G1.D.S.up.txt	Lc31369.1
GO:0000145	exocyst	44	10	5.61	0.04701	5topCC.G2.D.S-G1.D.S.up.txt	Lc21193.1
GO:0000145	exocyst	44	10	5.61	0.04701	5topCC.G2.D.S-G1.D.S.up.txt	Lc28342.1
GO:0000145	exocyst	44	10	5.61	0.04701	5topCC.G2.D.S-G1.D.S.up.txt	Lc31583.1
GO:0000145	exocyst	44	10	5.61	0.04701	5topCC.G2.D.S-G1.D.S.up.txt	Lc21192.1
GO:0000145	exocyst	44	10	5.61	0.04701	5topCC.G2.D.S-G1.D.S.up.txt	Lc17774.1
GO:0000145	exocyst	44	10	5.61	0.04701	5topCC.G2.D.S-G1.D.S.up.txt	Lc21074.1
GO:0000145	exocyst	44	10	5.61	0.04701	5topCC.G2.D.S-G1.D.S.up.txt	Lc21076.1
GO:0000176	nuclear exosome (RNase complex)	12	2	1.53	0.46414	5topCC.G2.D.S-G1.D.S.up.txt	Lc28602.1
GO:0000176	nuclear exosome (RNase complex)	12	2	1.53	0.46414	5topCC.G2.D.S-G1.D.S.up.txt	Lc08885.1
GO:0000177	cytoplasmic exosome (RNase complex)	7	2	0.89	0.22135	5topCC.G2.D.S-G1.D.S.up.txt	Lc08885.1
GO:0000177	cytoplasmic exosome (RNase complex)	7	2	0.89	0.22135	5topCC.G2.D.S-G1.D.S.up.txt	Lc28602.1
GO:0000407	phagophore assembly site	33	5	4.21	0.41421	5topCC.G2.D.S-G1.D.S.up.txt	Lc13475.1
GO:0000407	phagophore assembly site	33	5	4.21	0.41421	5topCC.G2.D.S-G1.D.S.up.txt	Lc35436.1
GO:0000407	phagophore assembly site	33	5	4.21	0.41421	5topCC.G2.D.S-G1.D.S.up.txt	Lc28381.1
GO:0000407	phagophore assembly site	33	5	4.21	0.41421	5topCC.G2.D.S-G1.D.S.up.txt	Lc37472.1
GO:0000407	phagophore assembly site	33	5	4.21	0.41421	5topCC.G2.D.S-G1.D.S.up.txt	Lc07483.1
GO:0000418	RNA polymerase IV complex	18	3	2.3	0.40781	5topCC.G2.D.S-G1.D.S.up.txt	Lc37212.1
GO:0000418	RNA polymerase IV complex	18	3	2.3	0.40781	5topCC.G2.D.S-G1.D.S.up.txt	Lc15279.1
GO:0000418	RNA polymerase IV complex	18	3	2.3	0.40781	5topCC.G2.D.S-G1.D.S.up.txt	Lc10124.1
GO:0000421	autophagosome membrane	19	3	2.42	0.44359	5topCC.G2.D.S-G1.D.S.up.txt	Lc17256.1
GO:0000421	autophagosome membrane	19	3	2.42	0.44359	5topCC.G2.D.S-G1.D.S.up.txt	Lc30281.1
GO:0000421	autophagosome membrane	19	3	2.42	0.44359	5topCC.G2.D.S-G1.D.S.up.txt	Lc31317.1
GO:0000445	THO complex part of transcription export...	5	1	0.64	0.49441	5topCC.G2.D.S-G1.D.S.up.txt	Lc13669.1
GO:0000791	euchromatin	19	4	2.42	0.21700	5topCC.G2.D.S-G1.D.S.up.txt	Lc23836.1
GO:0000791	euchromatin	19	4	2.42	0.21700	5topCC.G2.D.S-G1.D.S.up.txt	Lc14275.1
GO:0000791	euchromatin	19	4	2.42	0.21700	5topCC.G2.D.S-G1.D.S.up.txt	Lc21670.1
GO:0000791	euchromatin	19	4	2.42	0.21700	5topCC.G2.D.S-G1.D.S.up.txt	Lc00789.1
GO:0000795	synaptonemal complex	12	4	1.53	0.05616	5topCC.G2.D.S-G1.D.S.up.txt	Lc14634.1
GO:0000795	synaptonemal complex	12	4	1.53	0.05616	5topCC.G2.D.S-G1.D.S.up.txt	Lc20881.1
GO:0000795	synaptonemal complex	12	4	1.53	0.05616	5topCC.G2.D.S-G1.D.S.up.txt	Lc14275.1
GO:0000795	synaptonemal complex	12	4	1.53	0.05616	5topCC.G2.D.S-G1.D.S.up.txt	Lc21670.1
GO:0000932	P-body	71	11	9.05	0.29196	5topCC.G2.D.S-G1.D.S.up.txt	Lc06905.1
GO:0000932	P-body	71	11	9.05	0.29196	5topCC.G2.D.S-G1.D.S.up.txt	Lc19498.1
GO:0000932	P-body	71	11	9.05	0.29196	5topCC.G2.D.S-G1.D.S.up.txt	Lc32930.1
GO:0000932	P-body	71	11	9.05	0.29196	5topCC.G2.D.S-G1.D.S.up.txt	Lc23421.1
GO:0000932	P-body	71	11	9.05	0.29196	5topCC.G2.D.S-G1.D.S.up.txt	Lc03259.1
GO:0000932	P-body	71	11	9.05	0.29196	5topCC.G2.D.S-G1.D.S.up.txt	Lc15176.1
GO:0000932	P-body	71	11	9.05	0.29196	5topCC.G2.D.S-G1.D.S.up.txt	Lc33940.1
GO:0000932	P-body	71	11	9.05	0.29196	5topCC.G2.D.S-G1.D.S.up.txt	Lc25691.1
GO:0000932	P-body	71	11	9.05	0.29196	5topCC.G2.D.S-G1.D.S.up.txt	Lc33001.1
GO:0000932	P-body	71	11	9.05	0.29196	5topCC.G2.D.S-G1.D.S.up.txt	Lc01113.1
GO:0000932	P-body	71	11	9.05	0.29196	5topCC.G2.D.S-G1.D.S.up.txt	Lc21047.1
GO:0000974	Prp19 complex	10	2	1.28	0.37077	5topCC.G2.D.S-G1.D.S.up.txt	Lc14775.1
GO:0000974	Prp19 complex	10	2	1.28	0.37077	5topCC.G2.D.S-G1.D.S.up.txt	Lc33270.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc01341.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc01296.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc01212.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc18187.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc12931.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc18101.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc10441.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc10418.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc28342.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc28351.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc18061.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc20583.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc01213.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc20856.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc18076.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc12418.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc12484.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc18063.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc01172.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc01128.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc10111.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc00535.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc20754.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc18151.1
GO:0005576	extracellular region	3535	516	450.72	0.00181	5topCC.G2.D.S-G1.D.S.up.txt	Lc21076.1
